row,sp,Dataset,TraitValue,Lat,Lon,DataContributor,TraitName;;
1,Cassiope tetragona,Atqasuk,0.062,70.46,-157.42,Robert Hollister,PlantHeight;;
2,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.076,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
3,Cassiope tetragona,Atqasuk,0.072,70.46,-157.42,Robert Hollister,PlantHeight;;
4,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,0.1,67.5,-152.5,Ian Wright,PlantHeight;;
5,Cassiope tetragona,Kluane Plateau,0.072,60.97135,-138.41777,Haydn Thomas,PlantHeight;;
6,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.138,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
7,Cassiope tetragona,Kilpisjarvi, Finland,0.06,69.05440329,20.81852298,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1317,Salix polaris,Qikiqtaruk-Herschel Island,0.032,69.57159,-138.88011,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
1318,Salix polaris,Kilpisjarvi, Finland,25.03678899,69.05344647,20.81759663,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1319,Salix polaris,LucieSmrzovaSvalbard,0.047,NA,NA,LucieSmrzova,SeedMass;;
1320,Salix polaris,Atqasuk,0.012,70.46,-157.42,Robert Hollister,PlantHeight;;
1321,Salix polaris,LucieSmrzovaSvalbard,0.052,NA,NA,LucieSmrzova,SeedMass;;
1322,Salix polaris,Atqasuk,0.052,70.46,-157.42,Robert Hollister,PlantHeight;;
1323,Salix polaris,Atqasuk,0.039,70.46,-157.42,Robert Hollister,PlantHeight;;
1324,Salix polaris,LucieSmrzovaSvalbard,0.115,NA,NA,LucieSmrzova,SeedMass;;
1325,Salix polaris,Qikiqtaruk-Herschel Island,0.034,69.57526,-138.87509,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
1326,Vaccinium myrtillus,Kilpisjarvi, Finland,0.059,69.06977501,20.82052835,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1327,Vaccinium myrtillus,Estais,0.266,42.55029,1.04184,Alba Anadon-Rosell,SeedMass;;
1328,Vaccinium myrtillus,The Global Leaf Traits,17.513134851,56.42,-6.02,Serge Sheremetev,SLA;;
1329,Vaccinium myrtillus,Kilpisjarvi, Finland,0.087,69.06778093,20.8148676,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1330,Vaccinium myrtillus,Malga San Simone Trait Database (MSS),22.2714285714286,46.03,9.68,Bruno E. L. Cerabolini,SLA;;
1331,Vaccinium myrtillus,Flora d’Italia Functional Traits Hoard (FIFTH),35.408423,45.75,8.65,Bruno E. L. Cerabolini,SLA;;
1332,Vaccinium myrtillus,FURI,0.04,61.63542,12.6375,Tage Vowles,PlantHeight;;
1333,Vaccinium myrtillus,Sheffield Database,6.40266666666667,53.4,-1.5,Johannes Cornelissen,SLA;;
1334,Vaccinium myrtillus,FURI,0.04,61.63542,12.6375,Tage Vowles,PlantHeight;;
1335,Vaccinium myrtillus,Kilpisjarvi, Finland,21.40205128,69.06541588,20.82315807,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1336,Vaccinium myrtillus,Abisko,12.41851852,68.355968,18.722872,Martin Hallinger,SLA;;
1337,Vaccinium myrtillus,Sheffield Database,7.11926605504587,53.4,-1.5,Johannes Cornelissen,SLA;;
1338,Vaccinium myrtillus,Escunhau,22.04,42.66969,0.8388,Alba Anadon-Rosell,SLA;;
1339,Vaccinium myrtillus,Kilpisjarvi, Finland,15.8118231,69.06807329,20.8223087,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1340,Vaccinium myrtillus,Abisko,20.28666667,68.355968,18.722872,Martin Hallinger,SLA;;
1341,Vaccinium myrtillus,Kilpisjarvi, Finland,0.062,69.05927308,20.82736263,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1342,Vaccinium myrtillus,Kilpisjarvi, Finland,14.57756173,69.06807329,20.8223087,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1343,Vaccinium myrtillus,Abisko,17.36023256,68.355968,18.722872,Martin Hallinger,SLA;;
1344,Vaccinium myrtillus,Sheffield Database,6.54044681016083,NA,NA,Johannes Cornelissen,SLA;;
1345,Vaccinium myrtillus,FUMB,0.09,61.64506,12.59014,Tage Vowles,PlantHeight;;
1346,Vaccinium myrtillus,Escunhau,0.26,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1347,Vaccinium myrtillus,FURI,0.03,61.63542,12.6375,Tage Vowles,PlantHeight;;
1348,Vaccinium myrtillus,Estais,0.257,42.55029,1.04184,Alba Anadon-Rosell,SeedMass;;
1349,Vaccinium myrtillus,Kilpisjarvi, Finland,19.31841629,69.06402202,20.81092962,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1350,Vaccinium myrtillus,Kilpisjarvi, Finland,26.02,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,SLA
1351,Vaccinium myrtillus,Flora d’Italia Functional Traits Hoard (FIFTH),29.6815818181818,45.75,8.65,Bruno E. L. Cerabolini,SLA;;
1352,Vaccinium myrtillus,LOGH,0.04,62.10253,12.34458,Tage Vowles,PlantHeight;;
1353,Vaccinium myrtillus,Estais,0.272,42.55029,1.04184,Alba Anadon-Rosell,SeedMass;;
1354,Vaccinium myrtillus,Estais,0.25,42.55029,1.04184,Alba Anadon-Rosell,SeedMass;;
1355,Vaccinium myrtillus,Kilpisjarvi, Finland,0.139,69.06916155,20.80190587,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1356,Vaccinium myrtillus,FURI,0.04,61.63542,12.6375,Tage Vowles,PlantHeight;;
1357,Vaccinium myrtillus,Kilpisjarvi, Finland,0.11,69.05871809,20.8123962,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1358,Vaccinium myrtillus,GLOPNET - Global Plant Trait Network Database,13.6986301369863,69,18,Ian Wright,SLA;;
1359,Vaccinium myrtillus,Leaf Physiology Database,17.1,40.05,-105.6,Jens Kattge,SLA;;
1360,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1361,Vaccinium myrtillus,Sheffield Database,17.7777777777778,53.4,-1.5,Johannes Cornelissen,SLA;;
1362,Vaccinium myrtillus,Sheffield Database,19.3025059665871,53.4,-1.5,Johannes Cornelissen,SLA;;
1363,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1364,Vaccinium myrtillus,GLOPNET - Global Plant Trait Network Database,13.6986301369863,69,18,Ian Wright,SLA;;
1365,Vaccinium myrtillus,The Global Leaf Traits,20.4,58.83,17.4,Serge Sheremetev,SLA;;
1366,Vaccinium myrtillus,LOMB,0.12,62.06711,12.24481,Tage Vowles,PlantHeight;;
1367,Vaccinium myrtillus,FURI,0.07,61.63542,12.6375,Tage Vowles,PlantHeight;;
1368,Vaccinium myrtillus,FUMB,0.09,61.64506,12.59014,Tage Vowles,PlantHeight;;
1369,Vaccinium myrtillus,Kilpisjarvi, Finland,0.071,69.06977501,20.82052835,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1370,Vaccinium myrtillus,Kilpisjarvi, Finland,0.122,69.06560453,20.80546809,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1371,Vaccinium myrtillus,Kilpisjarvi, Finland,0.062,69.05897261,20.81996726,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1372,Vaccinium myrtillus,Kilpisjarvi, Finland,22.27856115,69.0645716,20.82582007,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1373,Vaccinium myrtillus,Abisko & Sheffield Database,20.7515578346859,68.33,18.85,Johannes Cornelissen,SLA;;
1374,Vaccinium myrtillus,The Functional Ecology of Trees (FET) Database  - Jena,13.7,56.36,-4.6,Christian Wirth,SLA;;
1375,Vaccinium myrtillus,Kilpisjarvi, Finland,0.024,69.06805265,20.79731106,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1376,Vaccinium myrtillus,FURI,0.03,61.63542,12.6375,Tage Vowles,PlantHeight;;
1377,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1378,Vaccinium myrtillus,FURI,0.03,61.63542,12.6375,Tage Vowles,PlantHeight;;
1379,Vaccinium myrtillus,Kilpisjarvi, Finland,15.96326531,69.05897261,20.81996726,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1380,Vaccinium myrtillus,FUMB,0.13,61.64506,12.59014,Tage Vowles,PlantHeight;;
1381,Vaccinium myrtillus,TAMB,0.08,68.33694,21.32006,Tage Vowles,PlantHeight;;
1382,Vaccinium myrtillus,Sheffield Database,6.54044681016084,NA,NA,Johannes Cornelissen,SLA;;
1383,Vaccinium myrtillus,Escunhau,0.2,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1384,Vaccinium myrtillus,Kilpisjarvi, Finland,16.90637681,69.06402202,20.81092962,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1385,Vaccinium myrtillus,Flora d’Italia Functional Traits Hoard (FIFTH),34.8204197802198,45.75,8.65,Bruno E. L. Cerabolini,SLA;;
1386,Vaccinium myrtillus,Abisko,16.94431373,68.355968,18.722872,Martin Hallinger,SLA;;
1387,Vaccinium myrtillus,The Functional Ecology of Trees (FET) Database  - Jena,16,56.36,-4.6,Christian Wirth,SLA;;
1388,Vaccinium myrtillus,Kilpisjarvi, Finland,0.076,69.06778093,20.8148676,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1389,Vaccinium myrtillus,LOGH,0.04,62.10253,12.34458,Tage Vowles,PlantHeight;;
1390,Vaccinium myrtillus,Sheffield Database,20.2125,53.4,-1.5,Johannes Cornelissen,SLA;;
1391,Vaccinium myrtillus,Escunhau,0.26,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1392,Vaccinium myrtillus,Kilpisjarvi, Finland,23.02403226,69.06271912,20.82396316,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1393,Vaccinium myrtillus,Sheffield Database,6.03076923076923,53.4,-1.5,Johannes Cornelissen,SLA;;
1394,Vaccinium myrtillus,Estais,0.249,42.55029,1.04184,Alba Anadon-Rosell,SeedMass;;
1395,Vaccinium myrtillus,The Global Leaf Traits,23.12,53.38,-1.46,Serge Sheremetev,SLA;;
1396,Vaccinium myrtillus,Kilpisjarvi, Finland,22.17944444,69.06910039,20.82713877,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1397,Vaccinium myrtillus,Kilpisjarvi, Finland,24.3860396,69.06541588,20.82315807,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1398,Vaccinium myrtillus,Abisko,15.95708333,68.355968,18.722872,Martin Hallinger,SLA;;
1399,Vaccinium myrtillus,Kilpisjarvi, Finland,18.13145251,69.06476046,20.80436734,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1400,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1401,Vaccinium myrtillus,Abisko,14.17883721,68.355968,18.722872,Martin Hallinger,SLA;;
1402,Vaccinium myrtillus,Abisko,11.78758621,68.355968,18.722872,Martin Hallinger,SLA;;
1403,Vaccinium myrtillus,The Global Leaf Traits,22.515018315,52.01,5.48,Serge Sheremetev,SLA;;
1404,Vaccinium myrtillus,GLOPNET - Global Plant Trait Network Database,0.4,58.25,26.67,Ian Wright,PlantHeight;;
1405,Vaccinium myrtillus,FUMB,0.05,61.64506,12.59014,Tage Vowles,PlantHeight;;
1406,Vaccinium myrtillus,The Global Leaf Traits,22.147502904,52.07,5.88,Serge Sheremetev,SLA;;
1407,Vaccinium myrtillus,Sheffield Database,19.8472392638037,53.4,-1.5,Johannes Cornelissen,SLA;;
1408,Vaccinium myrtillus,Sheffield Database,6.57131782945736,53.4,-1.5,Johannes Cornelissen,SLA;;
1409,Vaccinium myrtillus,Abisko,15.92454545,68.355968,18.722872,Martin Hallinger,SLA;;
1410,Vaccinium myrtillus,GLOPNET - Global Plant Trait Network Database,18.2273365999759,53.4,-1.5,Ian Wright,SLA;;
1411,Vaccinium myrtillus,Abisko,14.9637037,68.355968,18.722872,Martin Hallinger,SLA;;
1412,Vaccinium myrtillus,Sheffield Database,19.2223463687151,53.4,-1.5,Johannes Cornelissen,SLA;;
1413,Vaccinium myrtillus,Caucasus_Nadia,31.26402497,43.44,41.69,Nadia Soudzilovskaia,SLA;;
1414,Vaccinium myrtillus,LOGH,0.03,62.10253,12.34458,Tage Vowles,PlantHeight;;
1415,Vaccinium myrtillus,Abisko,14.82766667,68.355968,18.722872,Martin Hallinger,SLA;;
1416,Vaccinium myrtillus,Kilpisjarvi, Finland,17.46559701,69.06686089,20.82774531,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1417,Vaccinium myrtillus,Kilpisjarvi, Finland,19.82246914,69.06362953,20.82479542,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1418,Vaccinium myrtillus,Abisko,0.2,68.355968,18.722872,Martin Hallinger,SeedMass;;
1419,Vaccinium myrtillus,The VISTA Plant Trait Database,0.4,58.83,17.4,Eric Garnier,SeedMass;;
1420,Vaccinium myrtillus,FUMB,0.07,61.64506,12.59014,Tage Vowles,PlantHeight;;
1421,Vaccinium myrtillus,RIRI,0.08,67.77306,17.53611,Tage Vowles,PlantHeight;;
1422,Vaccinium myrtillus,The VISTA Plant Trait Database,0.0973,62.7,11.08,Eric Garnier,PlantHeight;;
1423,Vaccinium myrtillus,Kilpisjarvi, Finland,17.64016736,69.0656177,20.83053481,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1424,Vaccinium myrtillus,Kilpisjarvi, Finland,0.059,69.06271912,20.82396316,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1425,Vaccinium myrtillus,Kilpisjarvi, Finland,0.057,69.05927308,20.82736263,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1426,Vaccinium myrtillus,Abisko,16.8226601,68.32305,18.86583,Mariska Te Beest,SLA;;
1427,Vaccinium myrtillus,Stillberg,23.29333333,46.77,9.87,Janet Prevey,SLA;;
1428,Vaccinium myrtillus,Escunhau,0.22,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1429,Vaccinium myrtillus,Stillberg,19.525,46.77,9.87,Janet Prevey,SLA;;
1430,Vaccinium myrtillus,Kilpisjarvi, Finland,19.32918919,69.06202394,20.83032164,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1431,Vaccinium myrtillus,LOMB,0.13,62.06711,12.24481,Tage Vowles,PlantHeight;;
1432,Vaccinium myrtillus,Kilpisjarvi, Finland,0.093,69.06541588,20.82315807,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1433,Vaccinium myrtillus,Kilpisjarvi, Finland,0.053,69.06455788,20.80066203,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1434,Vaccinium myrtillus,LOMB,0.13,62.06711,12.24481,Tage Vowles,PlantHeight;;
1435,Vaccinium myrtillus,Escunhau,0.23,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1436,Vaccinium myrtillus,Sheffield Database,17.2236842105263,53.4,-1.5,Johannes Cornelissen,SLA;;
1437,Vaccinium myrtillus,The Global Leaf Traits,16,56.36,-4.6,Serge Sheremetev,SLA;;
1438,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1439,Vaccinium myrtillus,Abisko,16.4804878,68.355968,18.722872,Martin Hallinger,SLA;;
1440,Vaccinium myrtillus,The Global Leaf Traits,16,56.42,-6.02,Serge Sheremetev,SLA;;
1441,Vaccinium myrtillus,Filia,0.12,42.46391,0.96144,Alba Anadon-Rosell,PlantHeight;;
1442,Vaccinium myrtillus,Kilpisjarvi, Finland,0.08,69.05897261,20.81996726,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1443,Vaccinium myrtillus,Caucasus_Nadia,31.34091306,43.44,41.69,Nadia Soudzilovskaia,SLA;;
1444,Vaccinium myrtillus,FUMB,0.04,61.64506,12.59014,Tage Vowles,PlantHeight;;
1445,Vaccinium myrtillus,Kilpisjarvi, Finland,0.08,69.05832512,20.82637426,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1446,Vaccinium myrtillus,Kilpisjarvi, Finland,0.041,69.06051336,20.81442096,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1447,Vaccinium myrtillus,The Global Leaf Traits,29.388828039,52.06,5.76,Serge Sheremetev,SLA;;
1448,Vaccinium myrtillus,The VISTA Plant Trait Database,20.4,58.83,17.4,Eric Garnier,SLA;;
1449,Vaccinium myrtillus,FURI,0.07,61.63542,12.6375,Tage Vowles,PlantHeight;;
1450,Vaccinium myrtillus,Kilpisjarvi, Finland,22.15964,69.06521865,20.81930648,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1451,Vaccinium myrtillus,Kilpisjarvi, Finland,0.034,69.06325239,20.81365563,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1452,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1453,Vaccinium myrtillus,Abisko,14.2875,68.355968,18.722872,Martin Hallinger,SLA;;
1454,Vaccinium myrtillus,GLOPNET - Global Plant Trait Network Database,43.859649122807,56.5,61.5,Ian Wright,SLA;;
1455,Vaccinium myrtillus,Causasus Plant Traits Database,0.209,43.4483333333333,41.7,Nadejda Soudzilovskaia,SeedMass;;
1456,Vaccinium myrtillus,The Functional Ecology of Trees (FET) Database  - Jena,17.5,56.36,-4.6,Christian Wirth,SLA;;
1457,Vaccinium myrtillus,Photosynthesis Traits Worldwide,17.1,40.05,-105.6,Vincent Maire,SLA;;
1458,Vaccinium myrtillus,Sheffield Database,6.71538461538461,53.4,-1.5,Johannes Cornelissen,SLA;;
1459,Vaccinium myrtillus,Sheffield Database,20.146408839779,53.4,-1.5,Johannes Cornelissen,SLA;;
1460,Vaccinium myrtillus,Kilpisjarvi, Finland,17.95844828,69.06362953,20.82479542,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1461,Vaccinium myrtillus,Kilpisjarvi, Finland,0.076,69.06003563,20.824666,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1462,Vaccinium myrtillus,LORI,0.07,62.11508,12.27236,Tage Vowles,PlantHeight;;
1463,Vaccinium myrtillus,TAMB,0.08,68.33694,21.32006,Tage Vowles,PlantHeight;;
1464,Vaccinium myrtillus,LORI,0.08,62.11508,12.27236,Tage Vowles,PlantHeight;;
1465,Vaccinium myrtillus,Abisko & Sheffield Database,0.25,68.33,18.85,Johannes Cornelissen,PlantHeight;;
1466,Vaccinium myrtillus,Kilpisjarvi, Finland,0.087,69.06271912,20.82396316,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1467,Vaccinium myrtillus,Kilpisjarvi, Finland,20.30046683,69.06910039,20.82713877,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1468,Vaccinium myrtillus,Escunhau,0.22,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1469,Vaccinium myrtillus,Sheffield Database,18.9743276283619,53.4,-1.5,Johannes Cornelissen,SLA;;
1470,Vaccinium myrtillus,LOGH,0.01,62.10253,12.34458,Tage Vowles,PlantHeight;;
1471,Vaccinium myrtillus,Sheffield Database,6.13828125,53.4,-1.5,Johannes Cornelissen,SLA;;
1472,Vaccinium myrtillus,Sheffield Database,5.93722627737226,53.4,-1.5,Johannes Cornelissen,SLA;;
1473,Vaccinium myrtillus,Kilpisjarvi, Finland,0.088,69.06357345,20.82104807,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1474,Vaccinium myrtillus,Kilpisjarvi, Finland,18.46059172,69.06271912,20.82396316,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1475,Vaccinium myrtillus,Sheffield Database,6.63870967741935,53.4,-1.5,Johannes Cornelissen,SLA;;
1476,Vaccinium myrtillus,Escunhau,0.26,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1477,Vaccinium myrtillus,Escunhau,0.27,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1478,Vaccinium myrtillus,The Global Leaf Traits,13.698630137,56.42,-6.02,Serge Sheremetev,SLA;;
1479,Vaccinium myrtillus,Abisko,20.11268293,68.355968,18.722872,Martin Hallinger,SLA;;
1480,Vaccinium myrtillus,Abisko,19.6225,68.355968,18.722872,Martin Hallinger,SLA;;
1481,Vaccinium myrtillus,LOGH,0.08,62.10253,12.34458,Tage Vowles,PlantHeight;;
1482,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1483,Vaccinium myrtillus,RIRI,0.04,67.77306,17.53611,Tage Vowles,PlantHeight;;
1484,Vaccinium myrtillus,The VISTA Plant Trait Database,0.3,58.83,17.4,Eric Garnier,PlantHeight;;
1485,Vaccinium myrtillus,TAMB,0.1,68.33694,21.32006,Tage Vowles,PlantHeight;;
1486,Vaccinium myrtillus,Caucasus_Nadia,29.59724209,43.44,41.69,Nadia Soudzilovskaia,SLA;;
1487,Vaccinium myrtillus,GLOPNET - Global Plant Trait Network Database,24.8756218905473,58.25,26.67,Ian Wright,SLA;;
1488,Vaccinium myrtillus,Kilpisjarvi, Finland,20.19810256,69.06499738,20.8119392,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1489,Vaccinium myrtillus,The Global Leaf Traits,43.859649123,56.61,61.06,Serge Sheremetev,SLA;;
1490,Vaccinium myrtillus,LOGH,0.02,62.10253,12.34458,Tage Vowles,PlantHeight;;
1491,Vaccinium myrtillus,LOGH,0.02,62.10253,12.34458,Tage Vowles,PlantHeight;;
1492,Vaccinium myrtillus,Sheffield Database,16.3157894736842,53.4,-1.5,Johannes Cornelissen,SLA;;
1493,Vaccinium myrtillus,Kilpisjarvi, Finland,18.88228501,69.06476046,20.80436734,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1494,Vaccinium myrtillus,Caucasus_Nadia,26.44673509,43.44,41.69,Nadia Soudzilovskaia,SLA;;
1495,Vaccinium myrtillus,Sheffield Database,6.53695652173913,53.4,-1.5,Johannes Cornelissen,SLA;;
1496,Vaccinium myrtillus,FUMB,0.05,61.64506,12.59014,Tage Vowles,PlantHeight;;
1497,Vaccinium myrtillus,Kilpisjarvi, Finland,0.067,69.0581836,20.82254608,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1498,Vaccinium myrtillus,The Functional Ecology of Trees (FET) Database  - Jena,16.3934426229508,68.35,18.82,Christian Wirth,SLA;;
1499,Vaccinium myrtillus,RIRI,0.08,67.77306,17.53611,Tage Vowles,PlantHeight;;
1500,Vaccinium myrtillus,Filia,0.23,42.46391,0.96144,Alba Anadon-Rosell,PlantHeight;;
1501,Vaccinium myrtillus,Kilpisjarvi, Finland,0.127,69.06916155,20.80190587,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1502,Vaccinium myrtillus,Kilpisjarvi, Finland,0.072,69.06086401,20.82186949,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1503,Vaccinium myrtillus,LOGH,0.03,62.10253,12.34458,Tage Vowles,PlantHeight;;
1504,Vaccinium myrtillus,Escunhau,0.19,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1505,Vaccinium myrtillus,FUMB,0.14,61.64506,12.59014,Tage Vowles,PlantHeight;;
1506,Vaccinium myrtillus,Flora d’Italia Functional Traits Hoard (FIFTH),31.1702423357664,45.75,8.65,Bruno E. L. Cerabolini,SLA;;
1507,Vaccinium myrtillus,LORI,0.08,62.11508,12.27236,Tage Vowles,PlantHeight;;
1508,Vaccinium myrtillus,Malga San Simone Trait Database (MSS),20.406976744186,46.03,9.68,Bruno E. L. Cerabolini,SLA;;
1509,Vaccinium myrtillus,LOGH,0.04,62.10253,12.34458,Tage Vowles,PlantHeight;;
1510,Vaccinium myrtillus,Escunhau,0.21,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1511,Vaccinium myrtillus,LOGH,0.04,62.10253,12.34458,Tage Vowles,PlantHeight;;
1512,Vaccinium myrtillus,Escunhau,0.22,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1513,Vaccinium myrtillus,LOGH,0.04,62.10253,12.34458,Tage Vowles,PlantHeight;;
1514,Vaccinium myrtillus,LOMB,0.13,62.06711,12.24481,Tage Vowles,PlantHeight;;
1515,Vaccinium myrtillus,Kilpisjarvi, Finland,21.28037975,69.06003563,20.824666,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1516,Vaccinium myrtillus,The Netherlands Plant Traits Database,22.1475029036005,52.07,5.88,Jenny Ordonez,SLA;;
1517,Vaccinium myrtillus,The Netherlands Plant Traits Database,0.27,52.07,5.88,Jenny Ordonez,PlantHeight;;
1518,Vaccinium myrtillus,Escunhau,19.09,42.66969,0.8388,Alba Anadon-Rosell,SLA;;
1519,Vaccinium myrtillus,Filia,0.11,42.46391,0.96144,Alba Anadon-Rosell,PlantHeight;;
1520,Vaccinium myrtillus,LOGH,0.04,62.10253,12.34458,Tage Vowles,PlantHeight;;
1521,Vaccinium myrtillus,Filia,0.12,42.46391,0.96144,Alba Anadon-Rosell,PlantHeight;;
1522,Vaccinium myrtillus,FURI,0.01,61.63542,12.6375,Tage Vowles,PlantHeight;;
1523,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1524,Vaccinium myrtillus,Caucasus_Nadia,31.60771968,43.44,41.69,Nadia Soudzilovskaia,SLA;;
1525,Vaccinium myrtillus,Kilpisjarvi, Finland,19.28170588,69.06357345,20.82104807,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1526,Vaccinium myrtillus,TARI,0.01,68.33922,21.17958,Tage Vowles,PlantHeight;;
1527,Vaccinium myrtillus,FUMB,0.04,61.64506,12.59014,Tage Vowles,PlantHeight;;
1528,Vaccinium myrtillus,LOMB,0.15,62.06711,12.24481,Tage Vowles,PlantHeight;;
1529,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1530,Vaccinium myrtillus,Abisko,14.796,68.355968,18.722872,Martin Hallinger,SLA;;
1531,Vaccinium myrtillus,FUMB,0.1,61.64506,12.59014,Tage Vowles,PlantHeight;;
1532,Vaccinium myrtillus,The VISTA Plant Trait Database,0.3,58.83,17.4,Eric Garnier,PlantHeight;;
1533,Vaccinium myrtillus,FUMB,0.05,61.64506,12.59014,Tage Vowles,PlantHeight;;
1534,Vaccinium myrtillus,Kilpisjarvi, Finland,0.081,69.06903043,20.82332438,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1535,Vaccinium myrtillus,Abisko,17.38448276,68.355968,18.722872,Martin Hallinger,SLA;;
1536,Vaccinium myrtillus,Kilpisjarvi, Finland,0.098,69.06903043,20.82332438,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1537,Vaccinium myrtillus,Kilpisjarvi, Finland,0.031,69.06805265,20.79731106,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
